orderId,status,customer.email,lineItems.0.sku,lineItems.0.qty,lineItems.1.sku,lineItems.1.qty
ORD-9001,paid,buyer001@example.com,SKU-B,2,SKU-I,4
ORD-9002,shipped,buyer002@example.com,SKU-C,3,SKU-J,5
ORD-9003,cancelled,buyer003@example.com,SKU-D,4,SKU-K,1
ORD-9004,returned,buyer004@example.com,SKU-E,5,,
ORD-9005,open,buyer005@example.com,SKU-F,6,SKU-M,3
ORD-9006,paid,buyer006@example.com,SKU-G,1,SKU-N,4
ORD-9007,shipped,buyer007@example.com,SKU-H,2,SKU-O,5
ORD-9008,cancelled,buyer008@example.com,SKU-I,3,,
ORD-9009,returned,buyer009@example.com,SKU-J,4,SKU-Q,2
ORD-9010,open,buyer010@example.com,SKU-K,5,SKU-R,3
ORD-9011,paid,buyer011@example.com,SKU-L,6,SKU-S,4
ORD-9012,shipped,buyer012@example.com,SKU-M,1,,
ORD-9013,cancelled,buyer013@example.com,SKU-N,2,SKU-U,1
ORD-9014,returned,buyer014@example.com,SKU-O,3,SKU-V,2
ORD-9015,open,buyer015@example.com,SKU-P,4,SKU-W,3
ORD-9016,paid,buyer016@example.com,SKU-Q,5,,
ORD-9017,shipped,buyer017@example.com,SKU-R,6,SKU-Y,5
ORD-9018,cancelled,buyer018@example.com,SKU-S,1,SKU-Z,1
ORD-9019,returned,buyer019@example.com,SKU-T,2,SKU-A,2
ORD-9020,open,buyer020@example.com,SKU-U,3,,
ORD-9021,paid,buyer021@example.com,SKU-V,4,SKU-C,4
ORD-9022,shipped,buyer022@example.com,SKU-W,5,SKU-D,5
ORD-9023,cancelled,buyer023@example.com,SKU-X,6,SKU-E,1
ORD-9024,returned,buyer024@example.com,SKU-Y,1,,
ORD-9025,open,buyer025@example.com,SKU-Z,2,SKU-G,3
ORD-9026,paid,buyer026@example.com,SKU-A,3,SKU-H,4
ORD-9027,shipped,buyer027@example.com,SKU-B,4,SKU-I,5
ORD-9028,cancelled,buyer028@example.com,SKU-C,5,,
ORD-9029,returned,buyer029@example.com,SKU-D,6,SKU-K,2
ORD-9030,open,buyer030@example.com,SKU-E,1,SKU-L,3
ORD-9031,paid,buyer031@example.com,SKU-F,2,SKU-M,4
ORD-9032,shipped,buyer032@example.com,SKU-G,3,,
ORD-9033,cancelled,buyer033@example.com,SKU-H,4,SKU-O,1
ORD-9034,returned,buyer034@example.com,SKU-I,5,SKU-P,2
ORD-9035,open,buyer035@example.com,SKU-J,6,SKU-Q,3
ORD-9036,paid,buyer036@example.com,SKU-K,1,,
ORD-9037,shipped,buyer037@example.com,SKU-L,2,SKU-S,5
ORD-9038,cancelled,buyer038@example.com,SKU-M,3,SKU-T,1
ORD-9039,returned,buyer039@example.com,SKU-N,4,SKU-U,2
ORD-9040,open,buyer040@example.com,SKU-O,5,,
ORD-9041,paid,buyer041@example.com,SKU-P,6,SKU-W,4
ORD-9042,shipped,buyer042@example.com,SKU-Q,1,SKU-X,5
ORD-9043,cancelled,buyer043@example.com,SKU-R,2,SKU-Y,1
ORD-9044,returned,buyer044@example.com,SKU-S,3,,
ORD-9045,open,buyer045@example.com,SKU-T,4,SKU-A,3
ORD-9046,paid,buyer046@example.com,SKU-U,5,SKU-B,4
ORD-9047,shipped,buyer047@example.com,SKU-V,6,SKU-C,5
ORD-9048,cancelled,buyer048@example.com,SKU-W,1,,
ORD-9049,returned,buyer049@example.com,SKU-X,2,SKU-E,2
ORD-9050,open,buyer050@example.com,SKU-Y,3,SKU-F,3
ORD-9051,paid,buyer051@example.com,SKU-Z,4,SKU-G,4
ORD-9052,shipped,buyer052@example.com,SKU-A,5,,
ORD-9053,cancelled,buyer053@example.com,SKU-B,6,SKU-I,1
ORD-9054,returned,buyer054@example.com,SKU-C,1,SKU-J,2
ORD-9055,open,buyer055@example.com,SKU-D,2,SKU-K,3
ORD-9056,paid,buyer056@example.com,SKU-E,3,,
ORD-9057,shipped,buyer057@example.com,SKU-F,4,SKU-M,5
ORD-9058,cancelled,buyer058@example.com,SKU-G,5,SKU-N,1
ORD-9059,returned,buyer059@example.com,SKU-H,6,SKU-O,2
ORD-9060,open,buyer060@example.com,SKU-I,1,,
ORD-9061,paid,buyer061@example.com,SKU-J,2,SKU-Q,4
ORD-9062,shipped,buyer062@example.com,SKU-K,3,SKU-R,5
ORD-9063,cancelled,buyer063@example.com,SKU-L,4,SKU-S,1
ORD-9064,returned,buyer064@example.com,SKU-M,5,,
ORD-9065,open,buyer065@example.com,SKU-N,6,SKU-U,3
ORD-9066,paid,buyer066@example.com,SKU-O,1,SKU-V,4
ORD-9067,shipped,buyer067@example.com,SKU-P,2,SKU-W,5
ORD-9068,cancelled,buyer068@example.com,SKU-Q,3,,
ORD-9069,returned,buyer069@example.com,SKU-R,4,SKU-Y,2
ORD-9070,open,buyer070@example.com,SKU-S,5,SKU-Z,3
ORD-9071,paid,buyer071@example.com,SKU-T,6,SKU-A,4
ORD-9072,shipped,buyer072@example.com,SKU-U,1,,
ORD-9073,cancelled,buyer073@example.com,SKU-V,2,SKU-C,1
ORD-9074,returned,buyer074@example.com,SKU-W,3,SKU-D,2
ORD-9075,open,buyer075@example.com,SKU-X,4,SKU-E,3
ORD-9076,paid,buyer076@example.com,SKU-Y,5,,
ORD-9077,shipped,buyer077@example.com,SKU-Z,6,SKU-G,5
ORD-9078,cancelled,buyer078@example.com,SKU-A,1,SKU-H,1
ORD-9079,returned,buyer079@example.com,SKU-B,2,SKU-I,2
ORD-9080,open,buyer080@example.com,SKU-C,3,,
ORD-9081,paid,buyer081@example.com,SKU-D,4,SKU-K,4
ORD-9082,shipped,buyer082@example.com,SKU-E,5,SKU-L,5
ORD-9083,cancelled,buyer083@example.com,SKU-F,6,SKU-M,1
ORD-9084,returned,buyer084@example.com,SKU-G,1,,
ORD-9085,open,buyer085@example.com,SKU-H,2,SKU-O,3
ORD-9086,paid,buyer086@example.com,SKU-I,3,SKU-P,4
ORD-9087,shipped,buyer087@example.com,SKU-J,4,SKU-Q,5
ORD-9088,cancelled,buyer088@example.com,SKU-K,5,,
ORD-9089,returned,buyer089@example.com,SKU-L,6,SKU-S,2
ORD-9090,open,buyer090@example.com,SKU-M,1,SKU-T,3
ORD-9091,paid,buyer091@example.com,SKU-N,2,SKU-U,4
ORD-9092,shipped,buyer092@example.com,SKU-O,3,,
ORD-9093,cancelled,buyer093@example.com,SKU-P,4,SKU-W,1
ORD-9094,returned,buyer094@example.com,SKU-Q,5,SKU-X,2
ORD-9095,open,buyer095@example.com,SKU-R,6,SKU-Y,3
ORD-9096,paid,buyer096@example.com,SKU-S,1,,
ORD-9097,shipped,buyer097@example.com,SKU-T,2,SKU-A,5
ORD-9098,cancelled,buyer098@example.com,SKU-U,3,SKU-B,1
ORD-9099,returned,buyer099@example.com,SKU-V,4,SKU-C,2
ORD-9100,open,buyer100@example.com,SKU-W,5,,
ORD-9101,paid,buyer101@example.com,SKU-X,6,SKU-E,4
ORD-9102,shipped,buyer102@example.com,SKU-Y,1,SKU-F,5
ORD-9103,cancelled,buyer103@example.com,SKU-Z,2,SKU-G,1
ORD-9104,returned,buyer104@example.com,SKU-A,3,,
ORD-9105,open,buyer105@example.com,SKU-B,4,SKU-I,3
ORD-9106,paid,buyer106@example.com,SKU-C,5,SKU-J,4
ORD-9107,shipped,buyer107@example.com,SKU-D,6,SKU-K,5
ORD-9108,cancelled,buyer108@example.com,SKU-E,1,,
ORD-9109,returned,buyer109@example.com,SKU-F,2,SKU-M,2
ORD-9110,open,buyer110@example.com,SKU-G,3,SKU-N,3
ORD-9111,paid,buyer111@example.com,SKU-H,4,SKU-O,4
