customerId,customer.name,customer.email,customer.segment
CUST-001,Alan Dijkstra,customer001@example.com,public-sector
CUST-002,Grace Ritchie,customer002@example.com,education
CUST-003,Katherine Torvalds,customer003@example.com,startup
CUST-004,Dorothy Lovelace,customer004@example.com,mid-market
CUST-005,Edsger Dijkstra,customer005@example.com,enterprise
CUST-006,Barbara Ritchie,customer006@example.com,public-sector
CUST-007,Donald Torvalds,customer007@example.com,education
CUST-008,Margaret Lovelace,customer008@example.com,startup
CUST-009,Ken Dijkstra,customer009@example.com,mid-market
CUST-010,Dennis Ritchie,customer010@example.com,enterprise
CUST-011,Radia Torvalds,customer011@example.com,public-sector
CUST-012,Leslie Lovelace,customer012@example.com,education
CUST-013,Frances Dijkstra,customer013@example.com,startup
CUST-014,Tim Ritchie,customer014@example.com,mid-market
CUST-015,Linus Torvalds,customer015@example.com,enterprise
CUST-016,Guido Lovelace,customer016@example.com,public-sector
CUST-017,Brendan Dijkstra,customer017@example.com,education
CUST-018,Anita Ritchie,customer018@example.com,startup
CUST-019,Mary Torvalds,customer019@example.com,mid-market
CUST-020,Ada Lovelace,customer020@example.com,enterprise
CUST-021,Alan Dijkstra,customer021@example.com,public-sector
CUST-022,Grace Ritchie,customer022@example.com,education
CUST-023,Katherine Torvalds,customer023@example.com,startup
CUST-024,Dorothy Lovelace,customer024@example.com,mid-market
CUST-025,Edsger Dijkstra,customer025@example.com,enterprise
CUST-026,Barbara Ritchie,customer026@example.com,public-sector
CUST-027,Donald Torvalds,customer027@example.com,education
CUST-028,Margaret Lovelace,customer028@example.com,startup
CUST-029,Ken Dijkstra,customer029@example.com,mid-market
CUST-030,Dennis Ritchie,customer030@example.com,enterprise
CUST-031,Radia Torvalds,customer031@example.com,public-sector
CUST-032,Leslie Lovelace,customer032@example.com,education
CUST-033,Frances Dijkstra,customer033@example.com,startup
CUST-034,Tim Ritchie,customer034@example.com,mid-market
CUST-035,Linus Torvalds,customer035@example.com,enterprise
CUST-036,Guido Lovelace,customer036@example.com,public-sector
CUST-037,Brendan Dijkstra,customer037@example.com,education
CUST-038,Anita Ritchie,customer038@example.com,startup
CUST-039,Mary Torvalds,customer039@example.com,mid-market
CUST-040,Ada Lovelace,customer040@example.com,enterprise
CUST-041,Alan Dijkstra,customer041@example.com,public-sector
CUST-042,Grace Ritchie,customer042@example.com,education
CUST-043,Katherine Torvalds,customer043@example.com,startup
CUST-044,Dorothy Lovelace,customer044@example.com,mid-market
CUST-045,Edsger Dijkstra,customer045@example.com,enterprise
CUST-046,Barbara Ritchie,customer046@example.com,public-sector
CUST-047,Donald Torvalds,customer047@example.com,education
CUST-048,Margaret Lovelace,customer048@example.com,startup
CUST-049,Ken Dijkstra,customer049@example.com,mid-market
CUST-050,Dennis Ritchie,customer050@example.com,enterprise
CUST-051,Radia Torvalds,customer051@example.com,public-sector
CUST-052,Leslie Lovelace,customer052@example.com,education
CUST-053,Frances Dijkstra,customer053@example.com,startup
CUST-054,Tim Ritchie,customer054@example.com,mid-market
CUST-055,Linus Torvalds,customer055@example.com,enterprise
CUST-056,Guido Lovelace,customer056@example.com,public-sector
CUST-057,Brendan Dijkstra,customer057@example.com,education
CUST-058,Anita Ritchie,customer058@example.com,startup
CUST-059,Mary Torvalds,customer059@example.com,mid-market
CUST-060,Ada Lovelace,customer060@example.com,enterprise
CUST-061,Alan Dijkstra,customer061@example.com,public-sector
CUST-062,Grace Ritchie,customer062@example.com,education
CUST-063,Katherine Torvalds,customer063@example.com,startup
CUST-064,Dorothy Lovelace,customer064@example.com,mid-market
CUST-065,Edsger Dijkstra,customer065@example.com,enterprise
CUST-066,Barbara Ritchie,customer066@example.com,public-sector
CUST-067,Donald Torvalds,customer067@example.com,education
CUST-068,Margaret Lovelace,customer068@example.com,startup
CUST-069,Ken Dijkstra,customer069@example.com,mid-market
CUST-070,Dennis Ritchie,customer070@example.com,enterprise
CUST-071,Radia Torvalds,customer071@example.com,public-sector
CUST-072,Leslie Lovelace,customer072@example.com,education
CUST-073,Frances Dijkstra,customer073@example.com,startup
CUST-074,Tim Ritchie,customer074@example.com,mid-market
CUST-075,Linus Torvalds,customer075@example.com,enterprise
CUST-076,Guido Lovelace,customer076@example.com,public-sector
CUST-077,Brendan Dijkstra,customer077@example.com,education
CUST-078,Anita Ritchie,customer078@example.com,startup
CUST-079,Mary Torvalds,customer079@example.com,mid-market
CUST-080,Ada Lovelace,customer080@example.com,enterprise
CUST-081,Alan Dijkstra,customer081@example.com,public-sector
CUST-082,Grace Ritchie,customer082@example.com,education
CUST-083,Katherine Torvalds,customer083@example.com,startup
CUST-084,Dorothy Lovelace,customer084@example.com,mid-market
CUST-085,Edsger Dijkstra,customer085@example.com,enterprise
CUST-086,Barbara Ritchie,customer086@example.com,public-sector
CUST-087,Donald Torvalds,customer087@example.com,education
CUST-088,Margaret Lovelace,customer088@example.com,startup
CUST-089,Ken Dijkstra,customer089@example.com,mid-market
CUST-090,Dennis Ritchie,customer090@example.com,enterprise
CUST-091,Radia Torvalds,customer091@example.com,public-sector
CUST-092,Leslie Lovelace,customer092@example.com,education
CUST-093,Frances Dijkstra,customer093@example.com,startup
CUST-094,Tim Ritchie,customer094@example.com,mid-market
CUST-095,Linus Torvalds,customer095@example.com,enterprise
CUST-096,Guido Lovelace,customer096@example.com,public-sector
CUST-097,Brendan Dijkstra,customer097@example.com,education
CUST-098,Anita Ritchie,customer098@example.com,startup
CUST-099,Mary Torvalds,customer099@example.com,mid-market
CUST-100,Ada Lovelace,customer100@example.com,enterprise
CUST-101,Alan Dijkstra,customer101@example.com,public-sector
CUST-102,Grace Ritchie,customer102@example.com,education
CUST-103,Katherine Torvalds,customer103@example.com,startup
CUST-104,Dorothy Lovelace,customer104@example.com,mid-market
CUST-105,Edsger Dijkstra,customer105@example.com,enterprise
CUST-106,Barbara Ritchie,customer106@example.com,public-sector
CUST-107,Donald Torvalds,customer107@example.com,education
CUST-108,Margaret Lovelace,customer108@example.com,startup
CUST-109,Ken Dijkstra,customer109@example.com,mid-market
CUST-110,Dennis Ritchie,customer110@example.com,enterprise
CUST-111,Radia Torvalds,customer111@example.com,public-sector
CUST-112,Leslie Lovelace,customer112@example.com,education
CUST-113,Frances Dijkstra,customer113@example.com,startup
CUST-114,Tim Ritchie,customer114@example.com,mid-market
CUST-115,Linus Torvalds,customer115@example.com,enterprise
CUST-116,Guido Lovelace,customer116@example.com,public-sector
CUST-117,Brendan Dijkstra,customer117@example.com,education
CUST-118,Anita Ritchie,customer118@example.com,startup
CUST-119,Mary Torvalds,customer119@example.com,mid-market
CUST-120,Ada Lovelace,customer120@example.com,enterprise
CUST-121,Alan Dijkstra,customer121@example.com,public-sector
CUST-122,Grace Ritchie,customer122@example.com,education
CUST-123,Katherine Torvalds,customer123@example.com,startup
CUST-124,Dorothy Lovelace,customer124@example.com,mid-market
CUST-125,Edsger Dijkstra,customer125@example.com,enterprise
CUST-126,Barbara Ritchie,customer126@example.com,public-sector
CUST-127,Donald Torvalds,customer127@example.com,education
CUST-128,Margaret Lovelace,customer128@example.com,startup
CUST-129,Ken Dijkstra,customer129@example.com,mid-market
CUST-130,Dennis Ritchie,customer130@example.com,enterprise
CUST-131,Radia Torvalds,customer131@example.com,public-sector
CUST-132,Leslie Lovelace,customer132@example.com,education
CUST-133,Frances Dijkstra,customer133@example.com,startup
CUST-134,Tim Ritchie,customer134@example.com,mid-market
CUST-135,Linus Torvalds,customer135@example.com,enterprise
CUST-136,Guido Lovelace,customer136@example.com,public-sector
CUST-137,Brendan Dijkstra,customer137@example.com,education
CUST-138,Anita Ritchie,customer138@example.com,startup
CUST-139,Mary Torvalds,customer139@example.com,mid-market
CUST-140,Ada Lovelace,customer140@example.com,enterprise
CUST-141,Alan Dijkstra,customer141@example.com,public-sector
CUST-142,Grace Ritchie,customer142@example.com,education
CUST-143,Katherine Torvalds,customer143@example.com,startup
CUST-144,Dorothy Lovelace,customer144@example.com,mid-market
CUST-145,Edsger Dijkstra,customer145@example.com,enterprise
CUST-146,Barbara Ritchie,customer146@example.com,public-sector
CUST-147,Donald Torvalds,customer147@example.com,education
CUST-148,Margaret Lovelace,customer148@example.com,startup
CUST-149,Ken Dijkstra,customer149@example.com,mid-market
CUST-150,Dennis Ritchie,customer150@example.com,enterprise
CUST-151,Radia Torvalds,customer151@example.com,public-sector
CUST-152,Leslie Lovelace,customer152@example.com,education
CUST-153,Frances Dijkstra,customer153@example.com,startup
CUST-154,Tim Ritchie,customer154@example.com,mid-market
CUST-155,Linus Torvalds,customer155@example.com,enterprise
CUST-156,Guido Lovelace,customer156@example.com,public-sector
CUST-157,Brendan Dijkstra,customer157@example.com,education
CUST-158,Anita Ritchie,customer158@example.com,startup
CUST-159,Mary Torvalds,customer159@example.com,mid-market
CUST-160,Ada Lovelace,customer160@example.com,enterprise
